ID,TrSP,A,GS,RS,D,H,SI,Stem,Branches,Foliage,Tree_roots,GFF,Understory,Snags,Logs,Coarse_branches,Fine_litter
1:129:34,ALGL,55,260,0.8,24,21,2,58.2063323035533,5.09285691846276,1.11955232969993,15.1752108518239,1.41109770874825,0.709438113067306,2.47225660621173,2.36324296327615,1.41913176146025,2.73538037461664
4:319:15,ALGL,70,400,0.8,28,26,0,91.2527984570809,5.31527489705199,0.860371145991523,18.4382616375541,1.36927855552864,0.816746924319036,3.44511236822328,2.57797893639076,1.7919817154161,2.80087943362407
2:116:4,ALGL,65,300,0.7,32,25,1,67.97906024488,5.19051076605606,0.969635993478619,16.2695889142265,1.52101529063781,0.827416464307969,3.70522559848552,3.00850862097666,2.16538945640208,2.93404826791401
7:165:8,ALGL,60,270,0.75,26,23,1,60.9808367028924,4.58917519730516,0.904105068000657,14.573175741661,1.42833038348491,0.750988750963448,2.92598357529241,2.46155723598624,1.61640214579075,2.75157343096928
1:152:14,ALGL,70,340,0.8,26,24,2,76.6573071139637,6.31794522686465,1.15102658610766,18.9380787906271,1.58137404303734,0.8777258870525,3.01321279229829,2.4455872970266,1.60812210019966,2.7558171458135
4:13:3,ALGL,70,310,0.8,24,22,1,70.2713236972833,4.94014234378777,0.852557853489626,15.8329239851709,1.48040785222622,0.849243622862686,2.60569375637929,2.31084247357773,1.4305324129223,2.70828398782065
6:118:18,ALGL,45,160,0.7,18,18,0,36.093228039104,2.52757572774289,0.573670845255637,8.48765016667975,1.18498007348544,0.570299279248736,1.8235694168065,1.73487404630389,0.982660341094705,2.42970326309351
2:202:16,ALGL,95,230,0.7,26,23,2,52.4116099532038,4.37061467119031,0.603087901172492,12.8996834682919,1.95286324358545,1.17284923870793,2.9851160444389,2.42497864779052,1.63806948625219,2.72042761943821
3:7:30,ALGL,60,240,0.8,26,20,2,53.8669222468387,4.605685437193,0.949875740338821,13.7554313561819,1.46986678806487,0.767011210502204,2.45219495432575,2.67022913675744,1.55847502187159,2.86546550366142
1:160:68,ALGL,80,300,0.8,28,23,2,67.9024322703011,5.44753454870437,0.87995976719411,16.3715818686775,1.68642688462154,0.982544731231777,2.99941088506889,2.7349141697575,1.75458877224142,2.8753383326069
3:277:27,ALGL,55,200,0.7,22,19,3,44.645549475887,4.78742465270873,1.12273841035843,13.1877617836615,1.59022242931835,0.758435951152526,2.18078620593532,2.16430806764263,1.28102808539661,2.62872927373916
5:68:2,ALGL,60,220,0.8,24,19,0,49.9626149088349,3.01907923830469,0.55321970790775,10.4349082060218,1.2727267664741,0.713724018326037,2.20788938798896,2.48004086975543,1.3949113908431101,2.79459826542851
3:356:4,ALGL,60,220,0.8,22,20,2,49.3780120596021,4.22187831742691,0.87071942864392,12.6091454098334,1.46986678806487,0.767011210502204,2.22314481210019,2.17353235058968,1.25949876356126,2.65795353336137
3:34:16,ALGL,75,260,0.7,26,23,1,59.1621545006451,4.37726140297714,0.723776184294536,13.7628438915586,1.62869996071596,0.935742052617672,2.9851160444389,2.42497864779052,1.63806948625219,2.72042761943821
