ID,TrSP,Stem,Branches,Foliage,Tree_roots,GFF,Understory,Snags,Logs,Coarse_branches,Fine_litter,Bark,level,C_2020,C_2016,C_dif
6:57:5,ALGL,21.476293764114615,2.717075881946016,0.5504447027410659,4.505751681846,0.2560560427473096,1.136088262381384,3.98627169232362,1.547414016773625,1.4841758181094737,0.733711570849512,3.4109407743005566,2,37.29847252628718,43.353366733406716,-13.966376001091124
6:57:8,PISY,72.84380410975602,4.521769292269269,2.236126042010475,22.6799071134221,0.0718678939824876,0.5848238067559121,3.58499732260821,0.787370002746537,0.26786313217879176,3.14524650730827,11.569310064490663,2,99.61317817410664,110.48561308144873,-9.840588836962024
6:57:6,PISY,51.19424262083371,3.478952512243575,1.214603800834977,14.873068502003,0.15037758932748388,1.1410999194970362,5.98138255907144,0.9889374847595809,0.018644069955010358,1.8283338028592129,8.130850298603002,2,74.12742465798503,82.31282251993709,-9.944256084730249
6:58:4,PISY,37.78092714212756,2.40265868946948,1.048422577356261,10.8341156692711,0.0976232188370916,0.759984283046356,5.24365548976323,0.6899253728416693,0.19261575779873066,1.9166854104555178,6.000500193161436,2,56.13299813485733,63.40143565868424,-11.464152898612378
6:58:3,PISY,22.857383596370017,1.5167884509367922,0.37925368398467463,5.34439680024435,0.210614746978695,1.639811383345004,4.96328679715169,0.729964325489665,0.00903831606001548,0.823140534845619,3.6302903358940615,2,36.759572171056234,42.562137262672536,-13.633161924660243
6:58:2,PISY,49.355068213783206,3.1983797733293704,1.195535117179656,12.9363950073525,0.13556675546288488,0.9592125825734881,5.13119902755002,0.9287240947322589,0.11990531416108,1.427147040935535,7.838746128071451,2,70.28948404777896,77.18323227466698,-8.93166562700521
6:58:5,PISY,65.2579650636749,4.150046827265464,1.81091172452445,18.7134725196501,0.0976232188370916,0.759984283046356,5.15794204050701,0.926528561981358,0.19261575779873066,2.146014422748555,10.364500333642486,2,90.8641322340264,99.53283631169403,-8.709391190783487
6:58:8,PISY,72.48491645171347,4.423981854805425,1.943581777303122,20.5314879327313,0.0703226812589616,0.66406299848712,3.58499732260821,0.787370002746537,0.24013069010474458,2.5566907694588523,11.512310259978022,2,98.26836480846447,107.82116745233974,-8.859858290903686
6:58:9,PISY,58.604941596758565,3.6604216345755063,1.621514472360606,16.7084989198804,0.0821716102219269,0.698522099244096,3.70601992853562,0.7560533339972829,0.23880176078894866,2.315151930222459,9.307843665367537,2,80.99144203207254,89.68043321920342,-9.688837213679175
6:58:15,PISY,43.498172267342426,2.953624431977469,1.358523443590452,11.5594785467831,0.051196587596216994,0.409232266110792,3.09979147435181,0.51674824959555,0.758905031084305,2.0535254529389877,6.908533242460267,2,61.60825244704827,68.92656983610698,-10.617556345049724
6:58:13,PISY,50.61739349218157,3.05548486227531,1.421426358632943,14.4438221857042,0.0498329130892428,0.48073454749559996,4.11507286075599,0.6714846879465074,0.4114580567115081,2.096623931698176,8.039233084052366,2,70.95874479483922,78.54304694027692,-9.656236218089049
6:58:10,PISY,53.53134379429517,3.444523788289095,1.571219022292758,15.4483605668071,0.09536761852781969,0.690457460179492,5.02239447156688,0.9559857453066969,0.27795153085212376,1.664453982419667,8.502036955564526,2,75.75573436929423,82.928476752557,-8.6493116287001
6:58:14,PISY,59.19677818286405,3.816961197202116,1.989291248773911,18.6840328700843,0.0819430320644958,0.5563566493054081,4.85503687767589,0.7565403468543479,0.3799067421019318,2.9878314442612255,9.40184124080782,2,84.0224869619112,94.19666598712625,-10.800996955248445
6:58:23,PISY,42.038789453494964,2.875006451057166,1.507163360418882,12.4923600927532,0.0451457138277534,0.3219072166161428,2.24632063000875,0.44985811157791694,0.8160458970596799,2.7912914322634856,6.676748913202141,2,59.76827717952688,68.64079038193323,-12.926006756387318
6:58:22,PISY,43.36546508720017,3.0477504213245883,1.4949029737283401,13.0393461635148,0.12846555111892619,0.596285530616904,4.17354709295824,0.8988323317855769,0.37237492481679557,1.5883773984198928,6.887456219731792,2,62.55345753170123,69.2686679992768,-9.694441457493717
6:58:20,PISY,46.81372791873927,3.1620977831218413,1.164397599301464,13.7979167174666,0.1785125097718524,1.074569378005676,4.35667315335005,0.983243128931637,0.02883709412303069,1.675050725977992,7.435121492976236,2,66.87223078429905,74.54966072123614,-10.298410298130442
6:58:19,BEPE,33.048222913034394,5.307264096597855,1.023785018140878,10.5095984348283,0.32881758216029694,0.32081137845748287,1.33449713689294,0.831442498457662,0.37627187235987924,0.679769905536819,5.248835403834875,2,48.49971780547308,53.138551386390496,-8.729695221058439
6:57:17,PISY,36.45104550893845,2.595103012286658,1.2195317977664761,9.80013477947796,0.0694391079782868,0.45412569484454,2.94805143785687,0.5464832929343206,0.790650374543309,1.724961380468751,5.78928369847846,2,52.58867530609612,59.096957663971374,-11.012889013478008
6:57:10,BEPE,23.477986320588972,3.400191612922212,1.100043976859073,12.9721134492302,0.2478514293237987,0.2609639723435988,0.71337697240461,0.4427496443128233,0.1739859606169328,0.644767447843431,3.728856650917072,2,34.19077398813253,37.84365616826022,-9.652561485830729
6:57:9,ALGL,32.30824248802424,3.1171702845041462,0.8170557024260745,10.431611403908,0.368173887979449,0.22161141010443122,1.73871871004218,1.0336226227566119,0.6004732244077678,0.682881557292396,5.131309101039144,2,46.01925898857644,50.51174727745031,-8.8939475092746
6:56:30,PISY,27.75711953531448,2.2940968780546562,1.2770044985245501,8.77833838722838,0.1143814700555913,0.3724695969661196,4.20682423505804,0.647896532354904,0.6978355273092567,1.641929241611115,4.408483690902888,2,43.4180412061516,49.5381668031613,-12.354364305259566
6:56:29,PISY,41.83896653192773,2.9449051732660587,1.530198128912643,12.4734039267989,0.08716963576554629,0.47868310596461605,3.9822067392085,0.693646290320774,0.6819094232989072,1.9738656807201658,6.645012331541463,2,60.8565630409264,68.20876238601892,-10.778966056419065
6:56:22,BEPE,38.56420600474201,5.197259285669664,1.415691290807946,16.5182352574755,0.2458110116002818,0.2838891208703756,0.844442858586529,0.5089607307005144,0.212226348755449,0.944878914639333,6.124903306635496,2,54.3422688730076,59.27077632390564,-8.315240252573231
6:56:23,PISY,57.06311824075034,3.592626852924576,1.634327942117247,16.334643035454,0.08100016655282101,0.658574835926388,4.70407712890184,0.7851531842084559,0.29656484529620614,2.2202029215585117,9.062965838236819,2,80.0986119564732,88.50731048309203,-9.500569479201578
