OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1577,2:283:14,1577,593,59300,-14.778671917348602
1578,2:274:14,1578,548,54800,-14.788043428064046
1579,2:274:20,1579,316,31600,-14.997710374987015
1580,2:274:26,1580,231,23100,-15.328970983580769
1581,2:274:23,1581,1035,103500,-14.856507598208742
1582,2:274:5,1582,34,3400,-14.966985997985965
1583,2:274:7,1583,93,9300,-14.795722178308983
1584,2:274:13,1584,2093,209300,-14.908518694933814
1585,2:282:5,1585,51,5100,-15.059621737984445
1586,2:282:4,1586,127,12700,-14.74898349543961
1587,2:282:20,1587,136,13600,-14.889106487365247
1588,2:282:18,1588,150,15000,-14.749753576647404
1589,2:282:19,1589,849,84900,-14.885719092062258
1590,2:282:11,1590,1104,110400,-14.650556667943984
1591,2:282:1,1591,2086,208600,-14.914698319623595
1592,2:228:3,1592,32,3200,-15.463060849189215
1593,2:250:14,1593,272,27200,-14.618439105992625
1594,2:250:2,1594,258,25800,-14.848457989233882
1595,2:271:21,1595,244,24400,-14.872670681614057
1596,2:271:20,1596,233,23300,-15.175778497737635
1597,2:271:18,1597,44,4400,-15.67595820395972
1598,2:271:25,1598,82,8200,-15.311991429011199
1599,2:271:15,1599,44,4400,-15.207571623125165
1600,2:271:16,1600,141,14100,-14.682807031566101
1601,2:271:12,1601,38,3800,-15.210468857800102
1602,2:271:10,1602,117,11700,-14.966681065867553
1603,2:271:14,1603,46,4600,-15.156383705016259
1604,2:271:11,1604,94,9400,-15.018866781860709
1605,2:271:7,1605,752,75200,-14.972215896707333
1606,2:271:4,1606,636,63600,-15.035081508907947
1607,2:271:6,1607,114,11400,-16.303526409432408
1608,2:271:5,1608,70,7000,-14.526822863576154
1609,2:348:12,1609,194,19400,-15.439918887004524
1610,2:348:2,1610,178,17800,-15.246144796485366
1611,2:348:6,1611,127,12700,-14.529172281152471
1612,2:302:39,1612,67,6700,-15.080043079280223
1613,2:302:25,1613,311,31100,-14.942735544623968
1614,2:302:29,1614,411,41100,-14.802904859604316
1615,2:302:35,1615,385,38500,-14.75320311852817
1616,2:302:34,1616,279,27900,-14.914148849992719
1617,2:302:33,1617,89,8900,-15.137072859479554
1618,2:302:28,1618,75,7500,-14.662443929199162
1619,2:302:22,1619,3598,359800,-15.044014565774166
1620,2:302:21,1620,265,26500,-15.411247322941465
1621,2:270:25,1621,198,19800,-14.42020124517554
1622,2:270:24,1622,274,27400,-14.436534308356714
1623,2:270:20,1623,361,36100,-14.847416436917678
1624,2:270:21,1624,206,20600,-14.92221148377945
1625,2:270:18,1625,153,15300,-14.951204794873068
1626,2:270:16,1626,1023,102300,-14.843911235665564
1627,2:270:15,1627,441,44100,-14.655402017650577
1628,2:270:17,1628,61,6100,-14.645193027644003
1629,2:270:13,1629,122,12200,-14.511337872529818
1630,2:270:14,1630,325,32500,-14.836372990358905
1631,2:270:10,1631,66,6600,-14.822210521626047
1632,2:270:11,1632,112,11200,-14.852798860897874
1633,2:270:7,1633,137,13700,-14.915510924356369
1634,2:270:8,1634,284,28400,-15.137055154256453
1635,2:270:6,1635,169,16900,-15.07266410913347
1636,2:270:5,1636,1162,116200,-14.816097866568153
1637,2:270:4,1637,170,17000,-14.850965789618694
1638,2:270:3,1638,271,27100,-14.873296150081122
1639,2:270:1,1639,126,12600,-15.012962753353616
1640,2:250:24,1640,149,14900,-14.96262619905591
1641,2:250:23,1641,440,44000,-14.964764837392902
1642,2:250:20,1642,482,48200,-14.851792680899852
1643,2:250:10,1643,236,23600,-14.632617255753095
1644,2:250:19,1644,587,58700,-15.021457050576563
1645,2:250:1,1645,906,90600,-15.082546659532495
1646,2:228:5,1646,45,4500,-15.537791126963258
1647,2:228:12,1647,181,18100,-14.511988721532584
1648,2:228:8,1648,318,31800,-14.950515211202227
1649,2:228:11,1649,213,21300,-15.220853865956686
1650,2:228:27,1650,76,7600,-14.938342960262068
1651,2:228:31,1651,379,37900,-14.602588015170625
1652,2:228:26,1652,312,31200,-14.730590769681427
1653,2:228:16,1653,144,14400,-14.997812332915636
1654,2:228:10,1654,273,27300,-15.016749429246074
1655,2:228:42,1655,190,19000,-14.464593669049023
1656,2:228:7,1656,65,6500,-14.656411968190246
1657,2:228:40,1657,167,16700,-14.590587304402813
1658,2:228:15,1658,116,11600,-14.943950339063917
1659,2:228:9,1659,175,17500,-14.77180990084765
1660,2:228:25,1660,1253,125300,-14.9937602705938
1661,2:228:39,1661,196,19600,-15.135282823371384
1662,2:228:45,1662,107,10700,-15.285794320509249
1663,2:228:6,1663,188,18800,-15.128228450172223
1664,2:228:38,1664,43,4300,-15.302842746898246
1665,2:228:37,1665,92,9200,-15.426002111271139
1666,2:228:30,1666,198,19800,-15.365312356587081
1667,2:228:24,1667,82,8200,-15.25791466099908
1668,2:228:23,1668,30,3000,-14.733458734974302
1669,2:228:22,1669,93,9300,-14.886980322490473
1670,2:228:2,1670,232,23200,-14.914194307736683
1671,2:228:14,1671,1074,107400,-15.046294984272569
1672,2:228:1,1672,45,4500,-14.822693255293649
1673,2:318:37,1673,804,80400,-15.106020668292096
1674,2:318:4,1674,1191,119100,-14.72322159721881
1675,2:318:3,1675,62,6200,-14.94261501273879
1676,2:318:5,1676,104,10400,-14.653140349582342
1677,2:318:2,1677,1397,139700,-14.686665226239015
1678,2:321:4,1678,29,2900,-14.006754222350889
1679,2:321:1,1679,999,99900,-14.606617752349916
1680,2:150:1,1680,1075,107500,-14.94071543572967
1681,2:80:27,1681,149,14900,-14.420431410768526
1682,2:80:3,1682,448,44800,-15.121163058065385
1683,2:80:22,1683,159,15900,-15.087611998205224
1684,2:80:23,1684,674,67400,-15.047641946152606
1685,2:80:29,1685,159,15900,-14.885123844575965
1686,2:80:30,1686,217,21700,-14.927206553863181
1687,2:316:15,1687,211,21100,-15.40767031964618
1688,2:227:24,1688,186,18600,-14.982843042753267
1689,2:282:22,1689,137,13700,-14.992361606876262
1690,2:282:3,1690,79,7900,-15.466262086863214
1691,2:299:29,1691,282,28200,-14.916879423400662
1692,2:299:30,1692,284,28400,-14.866888863405425
1693,2:276:12,1693,208,20800,-14.896645746728606
1694,2:276:10,1694,156,15600,-14.837510973512291
1695,2:298:33,1695,44,4400,-15.043982161755178
1696,2:251:18,1696,57,5700,-14.585255528106144
1697,2:225:2,1697,47,4700,-15.267192551114446
1698,2:225:1,1698,123,12300,-14.804251167174996
1699,2:279:7,1699,144,14400,-14.834863401595303
1700,2:259:16,1700,93,9300,-15.36100497342651
1701,2:248:23,1701,42,4200,-15.275217652759796
1702,2:248:5,1702,74,7400,-14.843792096470592
1703,2:248:21,1703,169,16900,-15.181242445548449
1704,2:297:13,1704,165,16500,-14.622995397502041
1705,2:315:10,1705,375,37500,-15.068350831294316
1706,2:227:21,1706,473,47300,-14.878863416983677
1707,2:289:12,1707,145,14500,-15.694567446384678
1708,2:119:33,1708,32,3200,-15.151007081937605
1709,2:140:18,1709,205,20500,-14.965060981945072
1710,3:111:26,1710,175,17500,-15.414002129116422
1711,3:111:32,1711,634,63400,-15.080171432864908
1712,3:113:18,1712,578,57800,-15.545008898355501
1713,3:113:24,1713,214,21400,-15.818695183251501
1714,3:113:26,1714,92,9200,-15.203696922427074
1715,3:113:25,1715,94,9400,-16.991347162952923
1716,3:113:15,1716,406,40600,-14.896054160965004
1717,3:120:3,1717,252,25200,-16.013478862975436
1718,3:120:2,1718,49,4900,-16.84405377984053
1719,3:120:4,1719,403,40300,-14.705233617115788
1720,3:120:5,1720,272,27200,-14.816786534541567
1721,3:120:6,1721,58,5800,-15.158771256613024
1722,3:120:7,1722,180,18000,-14.808529210259277
1723,3:120:9,1723,296,29600,-14.967581325515816
1724,3:120:8,1724,345,34500,-14.686744692292507
1725,3:120:14,1725,505,50500,-14.874667782870723
1726,3:120:15,1726,433,43300,-15.370465610589239
1727,3:120:18,1727,175,17500,-15.698428664632559
1728,3:120:19,1728,131,13100,-16.936416677782212
1729,3:121:4,1729,1263,126300,-14.93055537876454
1730,3:121:8,1730,448,44800,-14.736919081096588
1731,3:121:7,1731,211,21100,-15.129445052963662
1732,3:121:9,1732,646,64600,-14.988729340769893
1733,3:121:10,1733,235,23500,-14.83834759939499
1734,3:121:11,1734,247,24700,-15.418275683599564
1735,3:121:12,1735,202,20200,-14.902575834517037
1736,3:121:13,1736,192,19200,-14.778248226212963
1737,3:121:5,1737,182,18200,-14.338394614406925
1738,3:121:2,1738,307,30700,-14.885076223301644
1739,3:121:3,1739,256,25600,-15.243486242657958
1740,3:121:1,1740,432,43200,-15.175322988901728
1741,3:121:6,1741,192,19200,-15.232520819553505
1742,3:123:4,1742,561,56100,-15.570173270391585
1743,3:123:23,1743,156,15600,-15.542897118132117
1744,3:122:19,1744,443,44300,-15.671574075283369
1745,3:122:15,1745,197,19700,-15.656562337472774
1746,3:122:22,1746,46,4600,-16.417135061787484
1747,3:122:24,1747,547,54700,-15.876727181751903
1748,3:122:18,1748,314,31400,-15.27076855192922
1749,3:122:10,1749,451,45100,-15.52422328734015
1750,3:122:3,1750,387,38700,-15.521407488412837
1751,3:122:2,1751,152,15200,-15.396522158795104
1752,3:122:46,1752,336,33600,-15.537907621259272
1753,3:122:34,1753,59,5900,-15.598538893662672
1754,3:122:32,1754,1707,170700,-15.52096247865875
1755,3:122:29,1755,451,45100,-15.442067529305207
1756,3:122:25,1756,215,21500,-15.909805517864285
1757,3:122:30,1757,448,44800,-15.52204989438981
1758,3:122:31,1758,166,16600,-15.483450567413923
1759,3:124:54,1759,352,35200,-15.37768450099119
1760,3:124:56,1760,514,51400,-15.77872028014443
1761,3:124:58,1761,171,17100,-15.425116496994349
1762,3:124:60,1762,140,14000,-15.460372944662794
1763,3:127:10,1763,230,23000,-15.827015455335623
1764,3:128:7,1764,117,11700,-15.224977446898725
1765,3:128:2,1765,468,46800,-15.196370965721961
1766,3:130:22,1766,385,38500,-15.508748461374434
1767,3:130:47,1767,149,14900,-14.746223906526284
1768,3:130:49,1768,46,4600,-15.138336999885162
1769,3:130:48,1769,47,4700,-14.804229554164996
1770,3:130:20,1770,1172,117200,-14.902375571269886
1771,3:130:5,1771,212,21200,-15.932573052087935
1772,3:130:21,1772,80,8000,-14.557637928928203
1773,3:130:19,1773,366,36600,-15.04256234377393
1774,3:130:23,1774,233,23300,-15.31603565395246
1775,3:130:18,1775,86,8600,-15.042631875672594
1776,3:130:17,1776,255,25500,-16.367438130225104
1777,3:130:16,1777,285,28500,-16.357441271925776
1778,3:130:12,1778,68,6800,-16.201411077775163
1779,3:130:9,1779,325,32500,-15.287410082446858
1780,3:130:7,1780,36,3600,-14.98859854644126
1781,3:130:8,1781,114,11400,-15.027468440131333
1782,3:130:2,1782,237,23700,-15.136924946463672
1783,3:130:10,1783,133,13300,-15.61792324814709
1784,3:130:14,1784,835,83500,-15.150144827488756
1785,3:138:2,1785,758,75800,-14.710329723283532
1786,3:139:5,1786,467,46700,-14.857615191344738
1787,3:139:6,1787,727,72700,-14.984502441011742
1788,3:140:2,1788,344,34400,-15.726385920488248
1789,3:140:6,1789,116,11600,-14.835460972950763
1790,3:144:2,1790,346,34600,-15.037269377535395
1791,3:141:1,1791,177,17700,-15.624476224149673
