OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
677,2:118:15,677,150,15000,-5.86791679901086
678,2:118:28,678,121,12100,-7.225710291009332
679,2:118:29,679,111,11100,-1.447055252096517
680,2:118:17,680,69,6900,-8.981237636767196
681,2:118:16,681,84,8400,-8.792097805143424
682,2:118:14,682,381,38100,-3.392363781307157
683,2:118:3,683,166,16600,-4.518189875068716
684,2:118:22,684,160,16000,-7.862730012437431
685,2:118:21,685,590,59000,-4.553257460225028
686,2:118:9,686,3204,320400,-7.689156737192943
687,2:98:19,687,77,7700,-5.284601452792619
688,2:98:11,688,126,12600,-4.304872840188501
689,2:119:32,689,808,80800,-0.688903680753191
690,2:119:43,690,528,52800,0.327358279011375
691,2:119:35,691,82,8200,0.463240589425756
692,2:120:14,692,252,25200,-1.219629538693052
693,2:120:8,693,166,16600,-3.364644947520635
694,2:120:6,694,207,20700,-0.014751099434801
695,2:120:34,695,182,18200,-4.86894388711996
696,2:120:22,696,165,16500,-3.28083767244449
697,2:120:15,697,375,37500,-2.453782245097393
698,2:120:2,698,535,53500,-1.723285982236666
699,2:139:1,699,1681,168100,-8.182466714725859
700,2:139:6,700,274,27400,-7.236422321751679
701,2:155:7,701,607,60700,-10.831805786466187
702,2:155:1,702,125,12500,-14.93590824571189
703,2:155:8,703,158,15800,-6.376502049751549
704,2:155:17,704,277,27700,-4.229089235716176
705,2:155:22,705,178,17800,-9.536547892986514
706,2:155:30,706,458,45800,-8.45021552673669
707,2:155:13,707,95,9500,-7.240832740841043
708,2:155:2,708,147,14700,-11.277076486305047
709,2:155:3,709,1356,135600,-12.791274868516476
710,2:155:9,710,1630,163000,-16.050021703294252
711,2:155:23,711,113,11300,-16.42793226398922
712,2:155:25,712,310,31000,-7.217272573175959
713,2:155:4,713,393,39300,-12.239388906650731
714,2:155:18,714,338,33800,-10.192699853034007
715,2:155:15,715,63,6300,-16.007278931022377
716,2:155:11,716,63,6300,-15.287088618710564
717,2:156:2,717,160,16000,-13.545657724724707
718,2:156:3,718,708,70800,-2.223988811302114
719,2:156:4,719,142,14200,-1.232640119035617
720,2:142:17,720,199,19900,-12.62384992739738
721,2:141:32,721,237,23700,-11.448213201806077
722,2:141:36,722,289,28900,-10.843765683424365
723,2:141:29,723,508,50800,-9.78342814056781
724,2:141:37,724,55,5500,-9.324377927425049
725,2:77:19,725,2237,223700,-1.584371501216201
726,2:143:14,726,232,23200,-0.60479938267839
727,2:143:5,727,109,10900,-3.523808844466701
728,2:143:8,728,249,24900,-0.117786806666903
729,2:143:4,729,81,8100,-3.143200943330722
730,2:143:3,730,79,7900,-2.331488389137474
731,2:143:2,731,93,9300,-0.767011539885661
732,2:143:6,732,222,22200,-1.717638680639252
733,2:154:30,733,76,7600,-10.499359686230207
734,2:154:11,734,1097,109700,-6.168748327118294
735,2:154:15,735,292,29200,-5.322638499532319
736,2:154:10,736,24,2400,-8.803471034209645
737,2:154:3,737,123,12300,-8.546317916222598
738,2:153:32,738,224,22400,-6.998288642157092
739,2:153:30,739,58,5800,-3.409307044519877
740,2:153:15,740,61,6100,-2.789138255719892
741,2:153:12,741,340,34000,-2.470856413813233
742,2:153:9,742,858,85800,-2.443802349983256
743,2:69:29,743,468,46800,-1.939462540226176
744,2:69:33,744,59,5900,-2.23924758754789
745,2:69:25,745,1234,123400,-0.619782362191165
