OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
2186,4:118:5,2186,697,69700,-10.581865290251729
2187,4:118:1,2187,326,32600,-10.240411162528336
2188,4:118:3,2188,2052,205200,-10.486905037133091
2189,4:118:4,2189,1505,150500,-10.633139852617337
2190,4:119:5,2190,167,16700,-10.567623174934413
2191,4:119:4,2191,3342,334200,-10.654951245590313
2192,4:119:6,2192,726,72600,-10.619843879528954
2193,4:133:6,2193,625,62500,-10.137714259339052
2194,4:133:9,2194,200,20000,-10.503447929541842
2195,4:133:12,2195,526,52600,-10.539662402976845
2196,4:133:11,2196,468,46800,-10.713905163997971
2197,4:133:10,2197,127,12700,-10.778760445663327
2198,4:133:8,2198,695,69500,-10.803694714780741
2199,4:133:5,2199,389,38900,-10.406880935425068
2200,4:133:4,2200,509,50900,-10.42433266769783
2201,4:133:1,2201,49,4900,-10.215744835201049
2202,4:133:2,2202,1819,181900,-10.624147776365085
2203,4:133:3,2203,2710,271000,-10.728795857551251
2204,4:132:12,2204,422,42200,-10.374380043988705
2205,4:132:11,2205,451,45100,-10.475509919500471
2206,4:132:13,2206,422,42200,-10.715731267617471
2207,4:132:9,2207,229,22900,-10.397760904182205
2208,4:132:4,2208,66,6600,-10.147550284438111
2209,4:132:5,2209,1179,117900,-10.563237894331078
2210,4:132:7,2210,165,16500,-10.66817632097958
2211,4:132:6,2211,3845,384500,-10.475282384522233
2212,4:132:3,2212,32,3200,-9.941156443164722
2213,4:132:2,2213,70,7000,-10.40014773367255
2214,4:132:1,2214,3349,334900,-10.478787775581694
2215,4:118:6,2215,488,48800,-10.330150949774143
2216,4:118:10,2216,1920,192000,-10.512251857574082
2217,4:132:10,2217,28,2800,-10.414234343239979
2218,4:132:8,2218,1328,132800,-10.297812510981252
2219,4:133:13,2219,1488,148800,-10.613359572147324
2220,4:143:3,2220,30,3000,-10.278213482420574
2221,4:143:5,2221,66,6600,-10.635583577782018
2222,4:143:6,2222,167,16700,-10.742786535797773
2223,4:143:7,2223,627,62700,-10.455272120636005
2224,4:143:20,2224,114,11400,-9.37102240346563
2225,4:143:19,2225,16,1600,-10.03783246886898
2226,4:143:17,2226,196,19600,-10.451151426363591
2227,4:143:8,2227,385,38500,-10.465897345153401
2228,4:143:23,2228,412,41200,-10.246434519053874
2229,4:143:22,2229,384,38400,-10.652522900585218
2230,4:143:21,2230,81,8100,-10.407533535394524
2231,4:143:25,2231,1972,197200,-10.666993886181217
2232,4:143:16,2232,529,52900,-10.742103082750647
2233,4:143:14,2233,100,10000,-10.59423611585554
2234,4:143:13,2234,96,9600,-10.51231471363676
2235,4:143:10,2235,202,20200,-10.383319172017721
2236,4:143:11,2236,164,16400,-10.04506025803473
2237,4:149:1,2237,354,35400,-10.181512089057637
2238,4:149:5,2238,330,33000,-10.6071117662249
2239,4:134:13,2239,1296,129600,-10.69600785617468
2240,4:134:10,2240,584,58400,-11.150632677196947
2241,4:134:9,2241,3162,316200,-10.797827690723341
2242,4:134:5,2242,756,75600,-10.580286487525093
2243,4:134:6,2243,679,67900,-10.444497919901307
2244,4:134:1,2244,1175,117500,-10.412871430948929
2245,4:134:4,2245,540,54000,-10.42889538432031
2246,4:134:2,2246,1102,110200,-10.720183058876497
2247,4:120:3,2247,471,47100,-10.558711268081812
2248,4:120:2,2248,5550,555000,-10.490377429411728
2249,4:91:11,2249,3283,328300,-10.765520844878502
2250,4:91:8,2250,979,97900,-10.662823578164971
2251,4:91:5,2251,219,21900,-10.76308812884515
2252,4:91:4,2252,1972,197200,-10.723451202590226
2253,4:73:3,2253,1122,112200,-10.310200246646872
2254,4:73:10,2254,1042,104200,-10.0600829244229
2255,4:73:9,2255,743,74300,-10.136604349853803
2256,4:92:3,2256,167,16700,-10.454340878854586
2257,4:92:7,2257,1118,111800,-10.669931885554007
2258,4:92:10,2258,497,49700,-10.637439958568564
2259,4:92:11,2259,335,33500,-10.523693455214673
2260,4:92:12,2260,846,84600,-10.556491392870058
2261,4:92:9,2261,1000,100000,-10.247011061960404
2262,4:92:8,2262,615,61500,-10.52192677814958
